title,author,rank,date
READY PLAYER TWO,by Ernest Cline,11,2021-01-24
THE MYSTERY OF MRS. CHRISTIE,by Marie Benedict,12,2021-01-24
THE MIDNIGHT LIBRARY,by Matt Haig,13,2021-01-24
THE PUSH,by Ashley Audrain,14,2021-01-24
BLACK BUCK,by Mateo Askaripour,15,2021-01-24
THE VANISHING HALF,by Brit Bennett,1,2021-01-31
THE SCORPION'S TAIL,by Douglas Preston and Lincoln Child,2,2021-01-31
NEIGHBORS,by Danielle Steel,3,2021-01-31
STAR WARS: LIGHT OF THE JEDI,by Charles Soule,4,2021-01-31
THE MIDNIGHT LIBRARY,by Matt Haig,5,2021-01-31
WHERE THE CRAWDADS SING,by Delia Owens,6,2021-01-31
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,7,2021-01-31
ANXIOUS PEOPLE,by Fredrik Backman,8,2021-01-31
THE RETURN,by Nicholas Sparks,9,2021-01-31
A TIME FOR MERCY,by John Grisham,10,2021-01-31
READY PLAYER TWO,by Ernest Cline,11,2021-01-31
HAMNET,by Maggie O'Farrell,12,2021-01-31
OUTLAWED,by Anna North,13,2021-01-31
DEADLY CROSS,by James Patterson,14,2021-01-31
THE GUEST LIST,by Lucy Foley,15,2021-01-31
THE VANISHING HALF,by Brit Bennett,1,2021-02-07
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,2,2021-02-07
WHERE THE CRAWDADS SING,by Delia Owens,3,2021-02-07
THE PUSH,by Ashley Audrain,4,2021-02-07
THE MIDNIGHT LIBRARY,by Matt Haig,5,2021-02-07
NEIGHBORS,by Danielle Steel,6,2021-02-07
BEFORE SHE DISAPPEARED,by Lisa Gardner,7,2021-02-07
THE RETURN,by Nicholas Sparks,8,2021-02-07
READY PLAYER TWO,by Ernest Cline,9,2021-02-07
STAR WARS: LIGHT OF THE JEDI,by Charles Soule,10,2021-02-07
A TIME FOR MERCY,by John Grisham,11,2021-02-07
ANXIOUS PEOPLE,by Fredrik Backman,12,2021-02-07
THE SCORPION'S TAIL,by Douglas Preston and Lincoln Child,13,2021-02-07
THE GUEST LIST,by Lucy Foley,14,2021-02-07
DEADLY CROSS,by James Patterson,15,2021-02-07
THE RUSSIAN,by James Patterson and James O. Born,1,2021-02-14
THE VANISHING HALF,by Brit Bennett,2,2021-02-14
THE MIDNIGHT LIBRARY,by Matt Haig,3,2021-02-14
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,4,2021-02-14
WHERE THE CRAWDADS SING,by Delia Owens,5,2021-02-14
THE PUSH,by Ashley Audrain,6,2021-02-14
THE RETURN,by Nicholas Sparks,7,2021-02-14
NEIGHBORS,by Danielle Steel,8,2021-02-14
READY PLAYER TWO,by Ernest Cline,9,2021-02-14
ANXIOUS PEOPLE,by Fredrik Backman,10,2021-02-14
A TIME FOR MERCY,by John Grisham,11,2021-02-14
BEFORE SHE DISAPPEARED,by Lisa Gardner,12,2021-02-14
THE GUEST LIST,by Lucy Foley,13,2021-02-14
AMERICAN DIRT,by Jeanine Cummins,14,2021-02-14
STAR WARS: LIGHT OF THE JEDI,by Charles Soule,15,2021-02-14
THE FOUR WINDS,by Kristin Hannah,1,2021-02-21
THE SURVIVORS,by Jane Harper,2,2021-02-21
THE VANISHING HALF,by Brit Bennett,3,2021-02-21
THE RUSSIAN,by James Patterson and James O. Born,4,2021-02-21
THE SANATORIUM,by Sarah Pearse,5,2021-02-21
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-02-21
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,7,2021-02-21
SEND FOR ME,by Lauren Fox,8,2021-02-21
WHERE THE CRAWDADS SING,by Delia Owens,9,2021-02-21
GIRL A,by Abigail Dean,10,2021-02-21
ANXIOUS PEOPLE,by Fredrik Backman,11,2021-02-21
A TIME FOR MERCY,by John Grisham,12,2021-02-21
SERPENTINE,by Jonathan Kellerman,13,2021-02-21
READY PLAYER TWO,by Ernest Cline,14,2021-02-21
THE RETURN,by Nicholas Sparks,15,2021-02-21
THE FOUR WINDS,by Kristin Hannah,1,2021-02-28
FAITHLESS IN DEATH,by J.D. Robb,2,2021-02-28
THE MIDNIGHT LIBRARY,by Matt Haig,3,2021-02-28
THE SANATORIUM,by Sarah Pearse,4,2021-02-28
THE VANISHING HALF,by Brit Bennett,5,2021-02-28
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,6,2021-02-28
THE RUSSIAN,by James Patterson and James O. Born,7,2021-02-28
WHERE THE CRAWDADS SING,by Delia Owens,8,2021-02-28
THE PARIS LIBRARY,by Janet Skeslien Charles,9,2021-02-28
ANXIOUS PEOPLE,by Fredrik Backman,10,2021-02-28
A TIME FOR MERCY,by John Grisham,11,2021-02-28
THE RETURN,by Nicholas Sparks,12,2021-02-28
READY PLAYER TWO,by Ernest Cline,13,2021-02-28
THE GUEST LIST,by Lucy Foley,14,2021-02-28
NEIGHBORS,by Danielle Steel,15,2021-02-28
A COURT OF SILVER FLAMES,by Sarah J. Maas,1,2021-03-07
THE FOUR WINDS,by Kristin Hannah,2,2021-03-07
THE MIDNIGHT LIBRARY,by Matt Haig,3,2021-03-07
THE VANISHING HALF,by Brit Bennett,4,2021-03-07
THE SANATORIUM,by Sarah Pearse,5,2021-03-07
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,6,2021-03-07
WHERE THE CRAWDADS SING,by Delia Owens,7,2021-03-07
THE RUSSIAN,by James Patterson and James O. Born,8,2021-03-07
FAITHLESS IN DEATH,by J.D. Robb,9,2021-03-07
MISSING AND ENDANGERED,by J.A. Jance,10,2021-03-07
RELENTLESS,by Mark Greaney,11,2021-03-07
ANXIOUS PEOPLE,by Fredrik Backman,12,2021-03-07
THE PARIS LIBRARY,by Janet Skeslien Charles,13,2021-03-07
THE RETURN,by Nicholas Sparks,14,2021-03-07
A TIME FOR MERCY,by John Grisham,15,2021-03-07
THE FOUR WINDS,by Kristin Hannah,1,2021-03-14
A COURT OF SILVER FLAMES,by Sarah J. Maas,2,2021-03-14
THE MIDNIGHT LIBRARY,by Matt Haig,3,2021-03-14
THE SANATORIUM,by Sarah Pearse,4,2021-03-14
THE VANISHING HALF,by Brit Bennett,5,2021-03-14
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,6,2021-03-14
WHERE THE CRAWDADS SING,by Delia Owens,7,2021-03-14
THE KAISER'S WEB,by Steve Berry,8,2021-03-14
FAITHLESS IN DEATH,by J.D. Robb,9,2021-03-14
THE RUSSIAN,by James Patterson and James O. Born,10,2021-03-14
TRIPLE CHOCOLATE CHEESECAKE MURDER,by Joanne Fluke,11,2021-03-14
KINGDOM OF SHADOW AND LIGHT,by Karen Marie Moning,12,2021-03-14
THE PARIS LIBRARY,by Janet Skeslien Charles,13,2021-03-14
THE RETURN,by Nicholas Sparks,14,2021-03-14
ANXIOUS PEOPLE,by Fredrik Backman,15,2021-03-14
LIFE AFTER DEATH,by Sister Souljah,1,2021-03-21
THE FOUR WINDS,by Kristin Hannah,2,2021-03-21
KLARA AND THE SUN,by Kazuo Ishiguro,3,2021-03-21
DARK SKY,by C.J. Box,4,2021-03-21
THE AFFAIR,by Danielle Steel,5,2021-03-21
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-03-21
THE LOST APOTHECARY,by Sarah Penner,7,2021-03-21
THE VANISHING HALF,by Brit Bennett,8,2021-03-21
INFINITE COUNTRY,by Patricia Engel,9,2021-03-21
A COURT OF SILVER FLAMES,by Sarah J. Maas,10,2021-03-21
WHAT'S MINE AND YOURS,by Naima Coster,11,2021-03-21
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,12,2021-03-21
THE SANATORIUM,by Sarah Pearse,13,2021-03-21
WE BEGIN AT THE END,by Chris Whitaker,14,2021-03-21
THE COMMITTED,by Viet Thanh Nguyen,15,2021-03-21
LIFE AFTER DEATH,by Sister Souljah,1,2021-03-28
THE FOUR WINDS,by Kristin Hannah,2,2021-03-28
THE MIDNIGHT LIBRARY,by Matt Haig,3,2021-03-28
KLARA AND THE SUN,by Kazuo Ishiguro,4,2021-03-28
DARK SKY,by C.J. Box,5,2021-03-28
2034,by Elliot Ackerman and Adm. James Stavridis,6,2021-03-28
FAST ICE,by Clive Cussler and Graham Brown,7,2021-03-28
THE AFFAIR,by Danielle Steel,8,2021-03-28
WE BEGIN AT THE END,by Chris Whitaker,9,2021-03-28
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,10,2021-03-28
THE LOST APOTHECARY,by Sarah Penner,11,2021-03-28
THE VANISHING HALF,by Brit Bennett,12,2021-03-28
A COURT OF SILVER FLAMES,by Sarah J. Maas,13,2021-03-28
THE SANATORIUM,by Sarah Pearse,14,2021-03-28
WHERE THE CRAWDADS SING,by Delia Owens,15,2021-03-28
WIN,by Harlan Coben,1,2021-04-04
THE FOUR WINDS,by Kristin Hannah,2,2021-04-04
LIFE AFTER DEATH,by Sister Souljah,3,2021-04-04
THE MIDNIGHT LIBRARY,by Matt Haig,4,2021-04-04
KLARA AND THE SUN,by Kazuo Ishiguro,5,2021-04-04
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,6,2021-04-04
DARK SKY,by C.J. Box,7,2021-04-04
WE BEGIN AT THE END,by Chris Whitaker,8,2021-04-04
WILD SIGN,by Patricia Briggs,9,2021-04-04
THE VANISHING HALF,by Brit Bennett,10,2021-04-04
FAST ICE,by Clive Cussler and Graham Brown,11,2021-04-04
A COURT OF SILVER FLAMES,by Sarah J. Maas,12,2021-04-04
WHERE THE CRAWDADS SING,by Delia Owens,13,2021-04-04
THE AFFAIR,by Danielle Steel,14,2021-04-04
THE LOST APOTHECARY,by Sarah Penner,15,2021-04-04
THE FOUR WINDS,by Kristin Hannah,1,2021-04-11
THE MIDNIGHT LIBRARY,by Matt Haig,2,2021-04-11
WIN,by Harlan Coben,3,2021-04-11
ETERNAL,by Lisa Scottoline,4,2021-04-11
LIFE AFTER DEATH,by Sister Souljah,5,2021-04-11
THE CONSEQUENCES OF FEAR,by Jacqueline Winspear,6,2021-04-11
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,7,2021-04-11
THE BOUNTY,by Janet Evanovich and Steve Hamilton,8,2021-04-11
KLARA AND THE SUN,by Kazuo Ishiguro,9,2021-04-11
DARK SKY,by C.J. Box,10,2021-04-11
WE BEGIN AT THE END,by Chris Whitaker,11,2021-04-11
THE VANISHING HALF,by Brit Bennett,12,2021-04-11
DOUBLE JEOPARDY,by Stuart Woods,13,2021-04-11
THE LOST APOTHECARY,by Sarah Penner,14,2021-04-11
WHERE THE CRAWDADS SING,by Delia Owens,15,2021-04-11
THE HILL WE CLIMB,by Amanda Gorman,1,2021-04-18
THE FOUR WINDS,by Kristin Hannah,2,2021-04-18
THE RED BOOK,by James Patterson and David Ellis,3,2021-04-18
THE MIDNIGHT LIBRARY,by Matt Haig,4,2021-04-18
KLARA AND THE SUN,by Kazuo Ishiguro,5,2021-04-18
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,6,2021-04-18
WIN,by Harlan Coben,7,2021-04-18
LIFE AFTER DEATH,by Sister Souljah,8,2021-04-18
THE LOST APOTHECARY,by Sarah Penner,9,2021-04-18
SUNFLOWER SISTERS,by Martha Hall Kelly,10,2021-04-18
ETERNAL,by Lisa Scottoline,11,2021-04-18
THE VANISHING HALF,by Brit Bennett,12,2021-04-18
OF WOMEN AND SALT,by Gabriela Garcia,13,2021-04-18
WE BEGIN AT THE END,by Chris Whitaker,14,2021-04-18
A COURT OF SILVER FLAMES,by Sarah J. Maas,15,2021-04-18
THE HILL WE CLIMB,by Amanda Gorman,1,2021-04-25
THE FOUR WINDS,by Kristin Hannah,2,2021-04-25
THE MIDNIGHT LIBRARY,by Matt Haig,3,2021-04-25
GOOD COMPANY,by Cynthia D'Aprix Sweeney,4,2021-04-25
THE RED BOOK,by James Patterson and David Ellis,5,2021-04-25
FIRST PERSON SINGULAR,by Haruki Murakami,6,2021-04-25
NORTHERN SPY,by Flynn Berry,7,2021-04-25
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,8,2021-04-25
WIN,by Harlan Coben,9,2021-04-25
KLARA AND THE SUN,by Kazuo Ishiguro,10,2021-04-25
YOU LOVE ME,by Caroline Kepnes,11,2021-04-25
LIFE AFTER DEATH,by Sister Souljah,12,2021-04-25
THE VANISHING HALF,by Brit Bennett,13,2021-04-25
ETERNAL,by Lisa Scottoline,14,2021-04-25
THE LOST APOTHECARY,by Sarah Penner,15,2021-04-25
OCEAN PREY,by John Sandford,1,2021-05-02
THE HILL WE CLIMB,by Amanda Gorman,2,2021-05-02
THE DEVIL'S HAND,by Jack Carr,3,2021-05-02
THE FOUR WINDS,by Kristin Hannah,4,2021-05-02
THE MIDNIGHT LIBRARY,by Matt Haig,5,2021-05-02
THE RED BOOK,by James Patterson and David Ellis,6,2021-05-02
THE GOOD SISTER,by Sally Hepworth,7,2021-05-02
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,8,2021-05-02
WIN,by Harlan Coben,9,2021-05-02
STARGAZER,by Anne Hillerman,10,2021-05-02
KLARA AND THE SUN,by Kazuo Ishiguro,11,2021-05-02
WHEN THE STARS GO DARK,by Paula McLain,12,2021-05-02
GOOD COMPANY,by Cynthia D'Aprix Sweeney,13,2021-05-02
THE VANISHING HALF,by Brit Bennett,14,2021-05-02
NORTHERN SPY,by Flynn Berry,15,2021-05-02
A GAMBLING MAN,by David Baldacci,1,2021-05-09
THE HILL WE CLIMB,by Amanda Gorman,2,2021-05-09
OCEAN PREY,by John Sandford,3,2021-05-09
THE FOUR WINDS,by Kristin Hannah,4,2021-05-09
THE MIDNIGHT LIBRARY,by Matt Haig,5,2021-05-09
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,6,2021-05-09
KLARA AND THE SUN,by Kazuo Ishiguro,7,2021-05-09
LOVER UNVEILED,by J.R. Ward,8,2021-05-09
THE RED BOOK,by James Patterson and David Ellis,9,2021-05-09
THE VANISHING HALF,by Brit Bennett,10,2021-05-09
THE GOOD SISTER,by Sally Hepworth,11,2021-05-09
THE MAN WHO LIVED UNDERGROUND,by Richard Wright,12,2021-05-09
WIN,by Harlan Coben,13,2021-05-09
THE LOST APOTHECARY,by Sarah Penner,14,2021-05-09
GOOD COMPANY,by Cynthia D'Aprix Sweeney,15,2021-05-09
SOOLEY,by John Grisham,1,2021-05-16
THE HILL WE CLIMB,by Amanda Gorman,2,2021-05-16
FINDING ASHLEY,by Danielle Steel,3,2021-05-16
A GAMBLING MAN,by David Baldacci,4,2021-05-16
THE FOUR WINDS,by Kristin Hannah,5,2021-05-16
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-05-16
OCEAN PREY,by John Sandford,7,2021-05-16
WHEREABOUTS,by Jhumpa Lahiri,8,2021-05-16
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,9,2021-05-16
THRAWN ASCENDANCY: GREATER GOOD,by Timothy Zahn,10,2021-05-16
A DISTANT SHORE,by Karen Kingsbury,11,2021-05-16
THE VANISHING HALF,by Brit Bennett,12,2021-05-16
KLARA AND THE SUN,by Kazuo Ishiguro,13,2021-05-16
FUGITIVE TELEMETRY,by Martha Wells,14,2021-05-16
REUNION BEACH,by Elin Hilderbrand et al,15,2021-05-16
THE LAST THING HE TOLD ME,by Laura Dave,1,2021-05-23
21ST BIRTHDAY,by James Patterson and Maxine Paetro,2,2021-05-23
SOOLEY,by John Grisham,3,2021-05-23
PROJECT HAIL MARY,by Andy Weir,4,2021-05-23
THE HILL WE CLIMB,by Amanda Gorman,5,2021-05-23
THE FOUR WINDS,by Kristin Hannah,6,2021-05-23
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-05-23
A GAMBLING MAN,by David Baldacci,8,2021-05-23
FINDING ASHLEY,by Danielle Steel,9,2021-05-23
THE NEWCOMER,by Mary Kay Andrews,10,2021-05-23
SUMMER ON THE BLUFFS,by Sunny Hostin,11,2021-05-23
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,12,2021-05-23
HOUR OF THE WITCH,by Chris Bohjalian,13,2021-05-23
GREAT CIRCLE,by Maggie Shipstead,14,2021-05-23
OCEAN PREY,by John Sandford,15,2021-05-23
WHILE JUSTICE SLEEPS,by Stacey Abrams,1,2021-05-30
SOOLEY,by John Grisham,2,2021-05-30
21ST BIRTHDAY,by James Patterson and Maxine Paetro,3,2021-05-30
THE HILL WE CLIMB,by Amanda Gorman,4,2021-05-30
THAT SUMMER,by Jennifer Weiner,5,2021-05-30
PROJECT HAIL MARY,by Andy Weir,6,2021-05-30
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-05-30
THE LAST THING HE TOLD ME,by Laura Dave,8,2021-05-30
A GAMBLING MAN,by David Baldacci,9,2021-05-30
THE FOUR WINDS,by Kristin Hannah,10,2021-05-30
THE DEVIL MAY DANCE,by Jake Tapper,11,2021-05-30
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,12,2021-05-30
FINDING ASHLEY,by Danielle Steel,13,2021-05-30
THE SUMMER OF LOST AND FOUND,by Mary Alice Monroe,14,2021-05-30
THE NEWCOMER,by Mary Kay Andrews,15,2021-05-30
SOOLEY,by John Grisham,1,2021-06-06
THE LAST THING HE TOLD ME,by Laura Dave,2,2021-06-06
PROJECT HAIL MARY,by Andy Weir,3,2021-06-06
WHILE JUSTICE SLEEPS,by Stacey Abrams,4,2021-06-06
21ST BIRTHDAY,by James Patterson and Maxine Paetro,5,2021-06-06
THE HILL WE CLIMB,by Amanda Gorman,6,2021-06-06
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-06-06
THAT SUMMER,by Jennifer Weiner,8,2021-06-06
THE FOUR WINDS,by Kristin Hannah,9,2021-06-06
A GAMBLING MAN,by David Baldacci,10,2021-06-06
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,11,2021-06-06
THE DEVIL MAY DANCE,by Jake Tapper,12,2021-06-06
THE PLOT,by Jean Hanff Korelitz,13,2021-06-06
WHERE THE GRASS IS GREEN AND THE GIRLS ARE PRETTY,by Lauren Weisberger,14,2021-06-06
FINDING ASHLEY,by Danielle Steel,15,2021-06-06
LEGACY,by Nora Roberts,1,2021-06-13
THE LAST THING HE TOLD ME,by Laura Dave,2,2021-06-13
SOOLEY,by John Grisham,3,2021-06-13
PROJECT HAIL MARY,by Andy Weir,4,2021-06-13
WHILE JUSTICE SLEEPS,by Stacey Abrams,5,2021-06-13
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-06-13
THE HILL WE CLIMB,by Amanda Gorman,7,2021-06-13
THAT SUMMER,by Jennifer Weiner,8,2021-06-13
THE SABOTEURS,by Clive Cussler and Jack Du Brul,9,2021-06-13
21ST BIRTHDAY,by James Patterson and Maxine Paetro,10,2021-06-13
A GAMBLING MAN,by David Baldacci,11,2021-06-13
THE FOUR WINDS,by Kristin Hannah,12,2021-06-13
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,13,2021-06-13
THE VANISHING HALF,by Brit Bennett,14,2021-06-13
THE DEVIL MAY DANCE,by Jake Tapper,15,2021-06-13
GOLDEN GIRL,by Elin Hilderbrand,1,2021-06-20
MALIBU RISING,by Taylor Jenkins Reid,2,2021-06-20
THE LAST THING HE TOLD ME,by Laura Dave,3,2021-06-20
SOOLEY,by John Grisham,4,2021-06-20
LEGACY,by Nora Roberts,5,2021-06-20
THE OTHER BLACK GIRL,by Zakiya Dalila Harris,6,2021-06-20
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-06-20
PROJECT HAIL MARY,by Andy Weir,8,2021-06-20
THE HILL WE CLIMB,by Amanda Gorman,9,2021-06-20
WHILE JUSTICE SLEEPS,by Stacey Abrams,10,2021-06-20
THE FOUR WINDS,by Kristin Hannah,11,2021-06-20
THAT SUMMER,by Jennifer Weiner,12,2021-06-20
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,13,2021-06-20
SEVEN DAYS IN JUNE,by Tia Williams,14,2021-06-20
21ST BIRTHDAY,by James Patterson and Maxine Paetro,15,2021-06-20
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,1,2021-06-27
GOLDEN GIRL,by Elin Hilderbrand,2,2021-06-27
MALIBU RISING,by Taylor Jenkins Reid,3,2021-06-27
THE LAST THING HE TOLD ME,by Laura Dave,4,2021-06-27
SOOLEY,by John Grisham,5,2021-06-27
TOM CLANCY: TARGET ACQUIRED,by Don Bentley,6,2021-06-27
THE MIDNIGHT LIBRARY,by Matt Haig,7,2021-06-27
PROJECT HAIL MARY,by Andy Weir,8,2021-06-27
LEGACY,by Nora Roberts,9,2021-06-27
THE FOUR WINDS,by Kristin Hannah,10,2021-06-27
THE OTHER BLACK GIRL,by Zakiya Dalila Harris,11,2021-06-27
THE HILL WE CLIMB,by Amanda Gorman,12,2021-06-27
THAT SUMMER,by Jennifer Weiner,13,2021-06-27
THE INVISIBLE LIFE OF ADDIE LARUE,by V.E. Schwab,14,2021-06-27
WHILE JUSTICE SLEEPS,by Stacey Abrams,15,2021-06-27
THE PRESIDENT'S DAUGHTER,by James Patterson and Bill Clinton,1,2021-07-04
THE MAIDENS,by Alex Michaelides,2,2021-07-04
THE LAST THING HE TOLD ME,by Laura Dave,3,2021-07-04
SOOLEY,by John Grisham,4,2021-07-04
GOLDEN GIRL,by Elin Hilderbrand,5,2021-07-04
THE MIDNIGHT LIBRARY,by Matt Haig,6,2021-07-04
MALIBU RISING,by Taylor Jenkins Reid,7,2021-07-04
